Date,Open,High,Low,Close,Volume
03-01-00,1469.25,1478,1438.359985,1455.219971,931800000
04-01-00,1455.219971,1455.219971,1397.430054,1399.420044,1009000000
05-01-00,1399.420044,1413.27002,1377.680054,1402.109985,1085500000
06-01-00,1402.109985,1411.900024,1392.099976,1403.449951,1092300000
07-01-00,1403.449951,1441.469971,1400.72998,1441.469971,1225200000
10-01-00,1441.469971,1464.359985,1441.469971,1457.599976,1064800000
11-01-00,1457.599976,1458.660034,1434.420044,1438.560059,1014000000
12-01-00,1438.560059,1442.599976,1427.079956,1432.25,974600000
13-01-00,1432.25,1454.199951,1432.25,1449.680054,1030400000
14-01-00,1449.680054,1473,1449.680054,1465.150024,1085900000
18-01-00,1465.150024,1465.150024,1451.300049,1455.140015,1056700000
19-01-00,1455.140015,1461.390015,1448.680054,1455.900024,1087800000
20-01-00,1455.900024,1465.709961,1438.540039,1445.569946,1100700000
21-01-00,1445.569946,1453.180054,1439.599976,1441.359985,1209800000
24-01-00,1441.359985,1454.089966,1395.420044,1401.530029,1115800000
25-01-00,1401.530029,1414.26001,1388.48999,1410.030029,1073700000
26-01-00,1410.030029,1412.72998,1400.160034,1404.089966,1117300000
27-01-00,1404.089966,1418.859985,1370.98999,1398.560059,1129500000
28-01-00,1398.560059,1398.560059,1356.199951,1360.160034,1095800000
31-01-00,1360.160034,1394.47998,1350.140015,1394.459961,993800000
01-02-00,1394.459961,1412.48999,1384.790039,1409.280029,981000000
02-02-00,1409.280029,1420.609985,1403.48999,1409.119995,1038600000
03-02-00,1409.119995,1425.780029,1398.52002,1424.969971,1146500000
04-02-00,1424.969971,1435.910034,1420.630005,1424.369995,1045100000
07-02-00,1424.369995,1427.150024,1413.329956,1424.23999,918100000
08-02-00,1424.23999,1441.829956,1424.23999,1441.719971,1047700000
09-02-00,1441.719971,1444.550049,1411.650024,1411.709961,1050500000
10-02-00,1411.699951,1422.099976,1406.430054,1416.829956,1058800000
11-02-00,1416.829956,1416.829956,1378.890015,1387.119995,1025700000
14-02-00,1387.119995,1394.930054,1380.530029,1389.939941,927300000
15-02-00,1389.939941,1407.719971,1376.25,1402.050049,1092100000
16-02-00,1402.050049,1404.550049,1385.579956,1387.670044,1018800000
17-02-00,1387.670044,1399.880005,1380.069946,1388.26001,1034800000
18-02-00,1388.26001,1388.589966,1345.319946,1346.089966,1042300000
22-02-00,1346.089966,1358.109985,1331.880005,1352.170044,980000000
23-02-00,1352.170044,1370.109985,1342.439941,1360.689941,993700000
24-02-00,1360.689941,1364.800049,1329.880005,1353.430054,1215000000
25-02-00,1353.430054,1362.140015,1329.150024,1333.359985,1065200000
28-02-00,1333.359985,1360.819946,1325.069946,1348.050049,1026500000
29-02-00,1348.050049,1369.630005,1348.050049,1366.420044,1204300000
01-03-00,1366.420044,1383.459961,1366.420044,1379.189941,1274100000
02-03-00,1379.189941,1386.560059,1370.349976,1381.76001,1198600000
03-03-00,1381.76001,1410.880005,1381.76001,1409.170044,1150300000
06-03-00,1409.170044,1409.73999,1384.75,1391.280029,1029000000
07-03-00,1391.280029,1399.209961,1349.98999,1355.619995,1314100000
08-03-00,1355.619995,1373.790039,1346.619995,1366.699951,1203000000
09-03-00,1366.699951,1401.819946,1357.880005,1401.689941,1123000000
10-03-00,1401.689941,1413.459961,1392.069946,1395.069946,1138800000
13-03-00,1395.069946,1398.390015,1364.839966,1383.619995,1016100000
14-03-00,1383.619995,1395.150024,1359.150024,1359.150024,1094000000
15-03-00,1359.150024,1397.98999,1356.98999,1392.140015,1302800000
16-03-00,1392.150024,1458.469971,1392.150024,1458.469971,1482300000
17-03-00,1458.469971,1477.329956,1453.319946,1464.469971,1295100000
20-03-00,1464.469971,1470.300049,1448.48999,1456.630005,920800000
21-03-00,1456.630005,1493.920044,1446.060059,1493.869995,1065900000
22-03-00,1493.869995,1505.079956,1487.329956,1500.640015,1075000000
23-03-00,1500.640015,1532.5,1492.390015,1527.349976,1078300000
24-03-00,1527.349976,1552.869995,1516.829956,1527.459961,1052200000
27-03-00,1527.459961,1534.630005,1518.459961,1523.859985,901000000
28-03-00,1523.859985,1527.359985,1507.089966,1507.72998,959100000
29-03-00,1507.72998,1521.449951,1497.449951,1508.52002,1061900000
30-03-00,1508.52002,1517.380005,1474.630005,1487.920044,1193400000
31-03-00,1487.920044,1519.810059,1484.380005,1498.579956,1227400000
03-04-00,1498.579956,1507.189941,1486.959961,1505.969971,1021700000
04-04-00,1505.97998,1526.449951,1416.410034,1494.72998,1515460000
05-04-00,1494.72998,1506.550049,1478.050049,1487.369995,1110300000
06-04-00,1487.369995,1511.76001,1487.369995,1501.339966,1008000000
07-04-00,1501.339966,1518.680054,1501.339966,1516.349976,891600000
10-04-00,1516.349976,1527.189941,1503.349976,1504.459961,853700000
11-04-00,1504.459961,1512.800049,1486.780029,1500.589966,971400000
12-04-00,1500.589966,1509.079956,1466.150024,1467.170044,1175900000
13-04-00,1467.170044,1477.52002,1439.339966,1440.51001,1032000000
14-04-00,1440.51001,1440.51001,1339.400024,1356.560059,1279700000
17-04-00,1356.560059,1401.530029,1346.5,1401.439941,1204700000
18-04-00,1401.439941,1441.609985,1397.810059,1441.609985,1109400000
19-04-00,1441.609985,1447.689941,1424.26001,1427.469971,1001400000
20-04-00,1427.469971,1435.48999,1422.079956,1434.540039,896200000
24-04-00,1434.540039,1434.540039,1407.130005,1429.859985,868700000
25-04-00,1429.859985,1477.670044,1429.859985,1477.439941,1071100000
26-04-00,1477.439941,1482.939941,1456.97998,1460.98999,999600000
27-04-00,1460.98999,1469.209961,1434.810059,1464.920044,1111000000
28-04-00,1464.920044,1473.619995,1448.150024,1452.430054,984600000
01-05-00,1452.430054,1481.51001,1452.430054,1468.25,966300000
02-05-00,1468.25,1468.25,1445.219971,1446.290039,1011500000
03-05-00,1446.290039,1446.290039,1398.359985,1415.099976,991600000
04-05-00,1415.099976,1420.98999,1404.939941,1409.569946,925800000
05-05-00,1409.569946,1436.030029,1405.079956,1432.630005,805500000
08-05-00,1432.630005,1432.630005,1417.050049,1424.170044,787600000
09-05-00,1424.170044,1430.280029,1401.849976,1412.140015,896600000
10-05-00,1412.140015,1412.140015,1375.140015,1383.050049,1006400000
11-05-00,1383.050049,1410.26001,1383.050049,1407.810059,953600000
12-05-00,1407.810059,1430.130005,1407.810059,1420.959961,858200000
15-05-00,1420.959961,1452.390015,1416.540039,1452.359985,854600000
16-05-00,1452.359985,1470.400024,1450.76001,1466.040039,955500000
17-05-00,1466.040039,1466.040039,1441.670044,1447.800049,820500000
18-05-00,1447.800049,1458.040039,1436.589966,1437.209961,807900000
19-05-00,1437.209961,1437.209961,1401.73999,1406.949951,853700000
22-05-00,1406.949951,1410.550049,1368.72998,1400.719971,869000000
23-05-00,1400.719971,1403.77002,1373.430054,1373.859985,869900000
24-05-00,1373.859985,1401.75,1361.089966,1399.050049,1152300000
25-05-00,1399.050049,1411.650024,1373.930054,1381.52002,984500000
26-05-00,1381.52002,1391.420044,1369.75,1378.02002,722600000
30-05-00,1378.02002,1422.449951,1378.02002,1422.449951,844200000
31-05-00,1422.439941,1434.48999,1415.5,1420.599976,960500000
01-06-00,1420.599976,1448.810059,1420.599976,1448.810059,960100000
02-06-00,1448.810059,1483.22998,1448.810059,1477.26001,1162400000
05-06-00,1477.26001,1477.280029,1464.680054,1467.630005,838600000
06-06-00,1467.630005,1471.359985,1454.73999,1457.839966,950100000
07-06-00,1457.839966,1474.640015,1455.060059,1471.359985,854600000
08-06-00,1471.359985,1475.650024,1456.48999,1461.670044,854300000
09-06-00,1461.670044,1472.670044,1454.959961,1456.949951,786000000
12-06-00,1456.949951,1462.930054,1445.98999,1446,774100000
13-06-00,1446,1470.420044,1442.380005,1469.439941,935900000
14-06-00,1469.439941,1483.619995,1467.709961,1470.540039,929700000
15-06-00,1470.540039,1482.040039,1464.619995,1478.72998,1011400000
16-06-00,1478.72998,1480.77002,1460.420044,1464.459961,1250800000
19-06-00,1464.459961,1488.930054,1459.050049,1486,921700000
20-06-00,1486,1487.319946,1470.180054,1475.949951,1031500000
21-06-00,1475.949951,1482.189941,1468,1479.130005,1009600000
22-06-00,1479.130005,1479.130005,1448.030029,1452.180054,1022700000
23-06-00,1452.180054,1459.939941,1438.310059,1441.47998,847600000
26-06-00,1441.47998,1459.660034,1441.47998,1455.310059,889000000
27-06-00,1455.310059,1463.349976,1450.550049,1450.550049,1042500000
28-06-00,1450.550049,1467.630005,1450.550049,1454.819946,1095100000
29-06-00,1454.819946,1455.140015,1434.630005,1442.390015,1110900000
30-06-00,1442.390015,1454.680054,1438.709961,1454.599976,1459700000
03-07-00,1454.599976,1469.579956,1450.849976,1469.540039,451900000
05-07-00,1469.540039,1469.540039,1442.449951,1446.22998,1019300000
06-07-00,1446.22998,1461.650024,1439.560059,1456.670044,947300000
07-07-00,1456.670044,1484.119995,1456.670044,1478.900024,931700000
10-07-00,1478.900024,1486.560059,1474.76001,1475.619995,838700000
11-07-00,1475.619995,1488.77002,1470.47998,1480.880005,980500000
12-07-00,1480.880005,1497.689941,1480.880005,1492.920044,1001200000
13-07-00,1492.920044,1501.390015,1489.650024,1495.839966,1026800000
14-07-00,1495.839966,1509.98999,1494.560059,1509.97998,960600000
17-07-00,1509.97998,1517.319946,1505.26001,1510.48999,906000000
18-07-00,1510.48999,1510.48999,1491.349976,1493.73999,908300000
19-07-00,1493.73999,1495.630005,1479.920044,1481.959961,909400000
20-07-00,1481.959961,1501.920044,1481.959961,1495.569946,1064600000
21-07-00,1495.569946,1495.569946,1477.910034,1480.189941,968300000
24-07-00,1480.189941,1485.880005,1463.800049,1464.290039,880300000
25-07-00,1464.290039,1476.22998,1464.290039,1474.469971,969400000
26-07-00,1474.469971,1474.469971,1452.420044,1452.420044,1235800000
27-07-00,1452.420044,1464.910034,1445.329956,1449.619995,1156400000
28-07-00,1449.619995,1456.680054,1413.890015,1419.890015,980000000
31-07-00,1419.890015,1437.650024,1418.709961,1430.829956,952600000
01-08-00,1430.829956,1443.540039,1428.959961,1438.099976,938700000
02-08-00,1438.099976,1451.589966,1433.48999,1438.699951,994500000
